app_name,company,official_url,site_listing_url,site_review_url,summary,status
Miro AI,Miro,https://miro.com/ai/ai-overview/,https://ihelpwithai.com/tools/miro-ai.html,https://ihelpwithai.com/reviews.html,"A collaborative whiteboard app with AI support for brainstorming, planning, and synthesis.",reach out
Coda AI,Coda,https://coda.io/product/ai,https://ihelpwithai.com/tools/coda-ai.html,https://ihelpwithai.com/reviews.html,"A docs-and-tables app with AI help for operations, planning, and team knowledge workflows.",reach out
Durable,Durable,https://durable.co/,https://ihelpwithai.com/tools/durable.html,https://ihelpwithai.com/reviews.html,A website-building app for small businesses that want fast site creation and basic online presence.,reach out
Browse AI,Browse AI,https://www.browse.ai/,https://ihelpwithai.com/tools/browse-ai.html,https://ihelpwithai.com/reviews.html,"A web automation app for scraping data, monitoring pages, and reducing repetitive browser tasks.",reach out
D-ID,D-ID,https://www.d-id.com/,https://ihelpwithai.com/tools/d-id.html,https://ihelpwithai.com/reviews.html,An avatar video app for turning still images and scripts into speaking presenters.,reach out
Shortwave,Shortwave,https://www.shortwave.com/,https://ihelpwithai.com/tools/shortwave.html,https://ihelpwithai.com/reviews.html,"An email app with AI search, drafting, summarizing, and workflow help for inbox-heavy work.",reach out
Colossyan,Colossyan,https://www.colossyan.com/,https://ihelpwithai.com/tools/colossyan.html,https://ihelpwithai.com/reviews.html,"A training-video app for producing avatar-led explainers, onboarding videos, and internal education.",reach out
Tana,Tana,https://tana.inc/,https://ihelpwithai.com/tools/tana.html,https://ihelpwithai.com/reviews.html,"A knowledge workspace app for organizing notes, meetings, and structured thinking with AI assistance.",reach out
Uizard,Uizard,https://uizard.io/,https://ihelpwithai.com/tools/uizard.html,https://ihelpwithai.com/reviews.html,"A UI prototyping app for wireframes, mockups, and interface ideas without heavy design work.",reach out
HARPA AI,HARPA AI,https://harpa.ai/,https://ihelpwithai.com/tools/harpa-ai.html,https://ihelpwithai.com/reviews.html,"A browser assistant app for web automation, page reading, and AI-powered task support.",reach out
Kaiber,Kaiber,https://kaiber.ai/,https://ihelpwithai.com/tools/kaiber.html,https://ihelpwithai.com/reviews.html,"A creative video app for stylized animation, music-driven visuals, and experimental content.",reach out
Relay.app,Relay.app,https://www.relay.app/,https://ihelpwithai.com/tools/relay-app.html,https://ihelpwithai.com/reviews.html,An automation app for building collaborative workflows that mix AI steps with human approvals.,reach out
AirOps,AirOps,https://www.airops.com/,https://ihelpwithai.com/tools/airops.html,https://ihelpwithai.com/reviews.html,A content and SEO operations app for building repeatable AI workflows and publishing systems.,reach out
Dust,Dust,https://dust.tt/,https://ihelpwithai.com/tools/dust.html,https://ihelpwithai.com/reviews.html,A team AI workspace for building assistants that search company knowledge and support internal workflows.,reach out
